firstName|lastName|address|phoneNumber|hireDate|salary
Ruby|Dillon|405-6101 Eu Street|1-175-371-6584|Oct 18, 2016|125000.21
Hanae|Mcclure|P.O. Box 760, 6112 Tristique Road|1-387-595-3879|Feb 21, 2017|41769.24
Nicole|Acevedo|Ap #696-2225 Interdum Road|1-194-537-1004|Jun 16, 2017|32715.48
Lani|Vega|Ap #298-4262 Sed Road|1-388-631-0961|Apr 13, 2018|24152.81
Nolan|Dillon|569 Sem Rd.|1-807-894-1892|May 23, 2018|70288.01
Ezekiel|Butler|3304 Iaculis Av.|1-696-876-8760|Jun 28, 2018|20977.73
Brandon|Tanner|867 Malesuada Road|1-522-441-9180|Mar 10, 2017|7852.47
Randall|Hodge|4017 Tortor. St.|1-144-211-3790|Nov 4, 2016|38025.38
Lara|Conley|8105 Pellentesque, Av.|1-302-527-8533|Feb 11, 2017|79564.45
Scarlett|Bradford|Ap #186-9086 Eu St.|1-302-843-3796|Oct 19, 2017|90123.54
Kamal|Mckenzie|Ap #528-4945 Pharetra Av.|1-615-163-3365|Jul 27, 2017|46151.27
Abraham|Cobb|P.O. Box 438, 5157 Proin Avenue|1-448-781-2256|Aug 19, 2018|43797.16
Cathleen|Beard|Ap #853-3324 Molestie Street|1-430-405-6506|Dec 18, 2016|21926.73
Nash|Santos|P.O. Box 787, 2083 Erat, St.|1-565-584-1487|Apr 29, 2018|46509.77
Madeline|Campbell|Ap #200-5382 Ornare, Ave|1-299-723-4655|Oct 19, 2017|76037.75
Robin|Pratt|P.O. Box 949, 1171 Aliquam Ave|1-149-511-5878|Dec 21, 2017|11376.59
Benjamin|Camacho|P.O. Box 111, 4834 Nam St.|1-289-366-3752|Nov 18, 2016|8347.68
Avye|Haley|741-4838 Proin Av.|1-143-138-8891|Jul 7, 2017|90241.62
Hakeem|Cleveland|632-4497 Dignissim Road|1-289-463-0009|Apr 28, 2018|7822.93
Ezekiel|Riggs|Ap #808-7368 Tempor Street|1-746-779-9839|Jan 20, 2017|17309.20
Nora|Lyons|154-9686 Duis Av.|1-296-635-7696|Sep 20, 2018|54308.60
Bruno|Ford|Ap #520-3452 Suspendisse Road|1-288-702-9028|Apr 24, 2018|98499.17
Olga|Quinn|868-4054 Hendrerit St.|1-734-590-2758|Apr 17, 2017|11569.59
